GHI,Temperature,Relative Humidity,Solar Zenith Angle,Cloud Type,Clearsky GHI,Power_MW
0.0,10.05,96.445,114.79500000000002,4.0,0.0,19.7
0.0,10.200000000000001,96.61,103.16499999999999,1.0,0.0,15.9
6.0,10.400000000000002,95.775,91.795,1.0,6.0,9.7
9.0,11.15,94.42,81.475,5.5,112.5,0.0
72.5,11.650000000000002,92.685,72.295,7.0,277.0,0.0
80.0,11.8,90.96000000000001,64.8,6.0,409.0,0.0
234.0,11.8,89.39500000000001,59.7,5.5,503.5,0.0
200.0,11.8,87.73,57.66,3.0,543.5,0.0
320.0,11.75,86.695,59.004999999999995,2.5,523.5,0.0
441.0,11.650000000000002,85.725,63.519999999999996,0.0,441.0,0.0
310.0,11.3,86.00999999999999,70.575,0.0,310.0,0.0
146.5,10.7,88.71000000000001,79.465,0.0,146.5,0.0
16.5,10.0,89.74000000000001,89.64000000000001,0.0,16.5,0.0
0.0,8.850000000000001,89.58,156.76,0.0,0.0,1.6
0.0,8.8,90.61,161.57,0.0,0.0,9.4
0.0,8.7,92.19500000000001,158.285,0.5,0.0,15.4
0.0,8.4,93.805,149.32999999999998,2.0,0.0,19.7
0.0,7.9,95.9,138.275,0.0,0.0,21.6
0.0,7.15,98.56,126.55,0.0,0.0,21.6
0.0,6.550000000000001,98.555,114.72,0.0,0.0,19.8
0.0,6.050000000000001,95.12,103.08500000000001,0.0,0.0,15.9
7.0,6.2,87.69500000000001,91.70500000000001,0.0,7.0,9.9
124.5,7.450000000000001,79.31,81.355,0.0,124.5,0.0
298.0,8.95,71.44,72.155,0.0,298.0,0.0
445.5,10.650000000000002,64.31,64.625,0.0,445.5,0.0
543.5,12.3,57.14,59.495000000000005,0.0,543.5,0.0
582.0,13.350000000000001,53.34,57.435,0.0,582.0,0.0
558.0,13.95,52.35,58.775000000000006,0.0,558.0,0.0
472.5,14.0,54.04,63.285,0.0,472.5,0.0
335.5,13.25,59.79,70.35499999999999,0.0,335.5,0.0
165.5,11.5,70.31,79.255,0.0,165.5,0.0
20.5,9.75,75.7,89.445,0.0,20.5,0.0
0.0,6.15,92.375,156.53,0.0,0.0,1.7
0.0,5.75,91.91,161.335,0.0,0.0,9.5
0.0,5.45,90.795,158.10500000000002,0.0,0.0,15.2
0.0,5.15,89.62,149.215,0.0,0.0,18.9
0.0,4.8500000000000005,88.6,138.19,0.0,0.0,20.9
0.0,4.7,87.67,126.47999999999999,0.0,0.0,20.8
0.0,4.6000000000000005,87.60000000000001,114.64500000000001,0.0,0.0,19.6
0.0,4.700000000000001,86.815,102.995,0.5,0.0,15.6
8.5,5.65,82.015,91.60499999999999,0.5,8.5,9.8
129.0,8.0,73.72,81.235,0.0,129.0,0.0
300.5,10.0,66.99000000000001,72.005,0.0,300.5,0.0
445.0,12.3,59.894999999999996,64.44500000000001,0.0,445.0,0.0
541.5,14.100000000000001,54.875,59.29,0.0,541.5,0.0
579.0,15.2,53.7,57.205,0.0,579.0,0.0
553.5,15.75,53.5,58.53,0.0,553.5,0.0
468.5,15.8,56.275000000000006,63.045,0.0,468.5,0.0
332.0,15.05,65.56,70.13,0.0,332.0,0.0
164.5,13.4,76.935,79.045,0.0,164.5,0.0
21.0,12.0,77.13,89.25,0.0,21.0,0.0
0.0,8.05,91.57,156.305,3.0,0.0,1.8
